CODE,NAME,LATEST_MEASLES_COV,GAP_TO_95
PRK,Democratic People's Republic of Korea,22.153333333333332,72.84666666666666
SOM,Somalia,40.945,54.055
COD,Democratic Republic of the Congo,41.245,53.755
GNQ,Equatorial Guinea,44.36333333333334,50.63666666666666
SDN,Sudan,44.555,50.445
MNE,Montenegro,46.330000000000005,48.669999999999995
PNG,Papua New Guinea,48.96333333333333,46.03666666666667
GIN,Guinea,50.24166666666667,44.75833333333333
NGA,Nigeria,50.345,44.655
UNICEF_REGIONS_WCARO,West and Central Africa,52.0,43.0
WB_SHORT_LIC,Low income,53.0,42.0
WB_LONG_LIC,Low income,53.0,42.0
COG,Congo,53.14666666666667,41.85333333333333
VEN,Venezuela (Bolivarian Republic of),53.72,41.28
ROU,Romania,55.92166666666666,39.07833333333334
MRT,Mauritania,57.74666666666667,37.25333333333333
SLB,Solomon Islands,57.97,37.03
GNB,Guinea-Bissau,58.568000000000005,36.431999999999995
AGO,Angola,58.64666666666667,36.35333333333333
BIH,Bosnia and Herzegovina,59.0,36.0
BOL,Bolivia (Plurinational State of),59.13666666666666,35.86333333333334
AFR,African Region,59.5,35.5
LEAST_DEVELOPED,Least developed,60.5,34.5
YEM,Yemen,60.94333333333333,34.05666666666667
VUT,Vanuatu,61.2,33.8
CMR,Cameroon,61.57,33.43
AFG,Afghanistan,62.06333333333333,32.93666666666667
UGA,Uganda,62.24400000000001,32.75599999999999
KIR,Kiribati,62.9225,32.0775
CIV,Côte d'Ivoire,64.07333333333334,30.926666666666662
TCD,Chad,65.08,29.92
UNICEF_REGIONS_ESARO,Eastern and Southern Africa,65.5,29.5
GAB,Gabon,65.96,29.040000000000006
MDG,Madagascar,66.42666666666666,28.573333333333338
ARG,Argentina,66.91333333333334,28.08666666666666
MMR,Myanmar,69.34666666666668,25.65333333333332
BHS,Bahamas,69.52333333333333,25.476666666666674
PRY,Paraguay,70.00333333333333,24.99666666666667
SEN,Senegal,70.075,24.924999999999997
MLI,Mali,70.81666666666666,24.183333333333337
AIA,Anguilla,71.015,23.985
HTI,Haiti,71.18,23.819999999999993
GAVI_PHASE5_YES,Gavi 5.0 yes,72.0,23.0
FSM,Micronesia (Federated States of),72.27,22.730000000000004
PHL,Philippines,72.61666666666666,22.38333333333334
SYR,Syrian Arab Republic,73.17999999999999,21.820000000000007
SUR,Suriname,73.35333333333334,21.64666666666666
LBN,Lebanon,73.68,21.319999999999993
TGO,Togo,74.41666666666667,20.58333333333333
ZMB,Zambia,74.42333333333333,20.576666666666668
COM,Comoros,74.465,20.534999999999997
UNICEF_REGIONS_LACRO,Latin America and the Caribbean,74.5,20.5
MHL,Marshall Islands,74.50166666666667,20.498333333333335
PER,Peru,75.0,20.0
MEX,Mexico,75.01333333333334,19.986666666666665
BRA,Brazil,75.26666666666667,19.733333333333334
BEN,Benin,75.44666666666667,19.553333333333327
PAN,Panama,75.46333333333332,19.536666666666676
HND,Honduras,75.55333333333333,19.446666666666673
EMR,Eastern Mediterranean Region,76.0,19.0
MWI,Malawi,76.0,19.0
GMB,Gambia,76.59333333333333,18.406666666666666
KEN,Kenya,76.94666666666667,18.053333333333327
LBR,Liberia,77.095,17.905
LAO,Lao People's Democratic Republic,77.75333333333333,17.24666666666667
LSO,Lesotho,77.93333333333334,17.066666666666663
NER,Niger,78.04833333333333,16.951666666666668
IDN,Indonesia,78.06833333333333,16.931666666666672
ETH,Ethiopia,78.25,16.75
GLOBAL,Global,78.5,16.5
MOZ,Mozambique,79.13833333333334,15.861666666666665
NAM,Namibia,79.29333333333334,15.706666666666663
VGB,British Virgin Islands,79.375,15.625
AMR,Region of the Americas,80.0,15.0
COK,Cook Islands,80.4325,14.567499999999995
MKD,North Macedonia,80.52,14.480000000000004
KHM,Cambodia,80.5825,14.417500000000004
CYP,Cyprus,80.68666666666667,14.313333333333333
UNICEF_REGIONS_MENA,Middle East and North Africa,81.0,14.0
WB_LONG_LMIC,Lower middle income,81.0,14.0
WSM,Samoa,81.0325,13.967500000000001
EST,Estonia,81.26833333333333,13.73166666666667
CAF,Central African Republic,81.57333333333334,13.426666666666662
ECU,Ecuador,81.66666666666667,13.333333333333329
ZAF,South Africa,81.72500000000001,13.274999999999991
DJI,Djibouti,81.75,13.25
CHL,Chile,81.85333333333334,13.146666666666661
DOM,Dominican Republic,82.05833333333334,12.941666666666663
WB_SHORT_MIC,Middle income,82.5,12.5
BDI,Burundi,82.5,12.5
GTM,Guatemala,82.51666666666667,12.483333333333334
BRB,Barbados,82.57,12.430000000000007
DEVELOPING,Developing,83.0,12.0
GRD,Grenada,83.14666666666666,11.853333333333339
SWZ,Eswatini,83.50666666666666,11.49333333333334
BWA,Botswana,83.55250000000001,11.447499999999991
LCA,Saint Lucia,83.95333333333333,11.046666666666667
VNM,Viet Nam,83.99666666666667,11.00333333333333
MCO,Monaco,84.0,11.0
SMR,San Marino,84.02,10.980000000000004
ERI,Eritrea,84.03666666666668,10.963333333333324
SSD,South Sudan,84.33333333333333,10.666666666666671
UNICEF_REGIONS_EAPRO,East Asia and the Pacific,84.5,10.5
GHA,Ghana,84.50666666666667,10.493333333333325
NLD,Netherlands (Kingdom of the),84.98666666666666,10.013333333333335
BMU,Bermuda,85.08500000000001,9.914999999999992
LBY,Libya,85.3,9.700000000000003
SLV,El Salvador,85.35666666666667,9.64333333333333
CAN,Canada,85.5,9.5
ZWE,Zimbabwe,85.80166666666666,9.198333333333338
WB_LONG_UMIC,Upper middle income,86.0,9.0
PAK,Pakistan,86.14999999999999,8.850000000000009
LTU,Lithuania,86.43333333333334,8.566666666666663
NZL,New Zealand,86.49000000000001,8.509999999999991
BFA,Burkina Faso,86.65333333333332,8.346666666666678
GAVI_PHASE5_NO,Gavi 5.0 no,87.0,8.0
TLS,Timor-Leste,87.08,7.920000000000002
ABW,Aruba,87.16499999999999,7.835000000000008
GBR,United Kingdom of Great Britain and Northern Ireland,87.51333333333332,7.486666666666679
THA,Thailand,87.575,7.424999999999997
SRB,Serbia,87.66000000000001,7.339999999999989
CZE,Czechia,87.735,7.265000000000001
SEAR,South-East Asia Region,88.0,7.0
ALB,Albania,88.07833333333333,6.921666666666667
STP,Sao Tome and Principe,88.09666666666668,6.903333333333322
CRI,Costa Rica,88.23333333333333,6.766666666666666
COL,Colombia,88.27,6.730000000000004
UNICEF_REGIONS_ROSA,South Asia,88.5,6.5
RUS,Russian Federation,88.87666666666667,6.123333333333335
MDA,Republic of Moldova,88.93333333333334,6.066666666666663
BEL,Belgium,89.075,5.924999999999997
PSE,"occupied Palestinian territory, including east Jerusalem",89.18666666666667,5.813333333333333
POL,Poland,89.2325,5.767499999999998
IRL,Ireland,89.32000000000001,5.679999999999993
BGR,Bulgaria,89.5,5.5
FJI,Fiji,89.72000000000001,5.279999999999987
UKR,Ukraine,89.72166666666668,5.278333333333322
ITA,Italy,89.81,5.189999999999998
MUS,Mauritius,89.84333333333332,5.1566666666666805
GRC,Greece,90.0,5.0
HRV,Croatia,90.04333333333334,4.9566666666666634
CYM,Cayman Islands,90.075,4.924999999999997
ISL,Iceland,90.24666666666667,4.75333333333333
TTO,Trinidad and Tobago,90.25999999999999,4.740000000000009
MNP,Northern Mariana Islands,90.41499999999999,4.585000000000008
BLZ,Belize,90.44,4.560000000000002
ATG,Antigua and Barbuda,90.495,4.5049999999999955
GEO,Georgia,90.5,4.5
JAM,Jamaica,90.87333333333333,4.126666666666665
GUM,Guam,90.96,4.040000000000006
WPR,Western Pacific Region,91.0,4.0
SYC,Seychelles,91.06666666666666,3.933333333333337
VCT,Saint Vincent and the Grenadines,91.10666666666667,3.893333333333331
MLT,Malta,91.40333333333335,3.59666666666665
IND,India,91.56333333333333,3.4366666666666674
XKX,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),91.76,3.239999999999995
RWA,Rwanda,91.96999999999998,3.0300000000000153
SVN,Slovenia,91.975,3.0250000000000057
DEVELOPED_ECONOMY,Developed economy,92.0,3.0
WB_LONG_HIC_OECD,High income: oecd,92.0,3.0
JOR,Jordan,92.0,3.0
AUS,Australia,92.04333333333334,2.9566666666666634
PLW,Palau,92.39166666666667,2.6083333333333343
WB_SHORT_HIC,High income,92.5,2.5
SWE,Sweden,92.575,2.424999999999997
NPL,Nepal,92.59333333333332,2.4066666666666805
CPV,Cabo Verde,92.99,2.010000000000005
EUR,European Region,93.0,2.0
CHE,Switzerland,93.0,2.0
UNICEF_REGIONS_DEV,Developed countries,93.0,2.0
URY,Uruguay,93.03666666666668,1.963333333333324
FIN,Finland,93.16666666666667,1.8333333333333286
IRQ,Iraq,93.46999999999998,1.5300000000000153
USA,United States of America,93.5,1.5
DNK,Denmark,93.80833333333334,1.1916666666666629
JPN,Japan,93.8175,1.1825000000000045
FRA,France,93.96666666666665,1.0333333333333456
ESP,Spain,93.98,1.019999999999996
DEU,Germany,94.0,1.0
UNICEF_REGIONS_CEE_CIS,Central and Eastern Europe and the Commonwealth of Independent States,94.0,1.0
WB_LONG_HIC_NONOECD,High income: non oecd,94.0,1.0
SGP,Singapore,94.43333333333334,0.5666666666666629
TUR,Türkiye,94.45,0.5499999999999972
KGZ,Kyrgyzstan,94.46333333333332,0.536666666666676
SVK,Slovakia,94.48333333333333,0.5166666666666657
KNA,Saint Kitts and Nevis,94.49333333333334,0.5066666666666606
LUX,Luxembourg,94.5,0.5
AUT,Austria,94.5,0.5
DMA,Dominica,94.55666666666667,0.44333333333332803
AZE,Azerbaijan,94.65333333333335,0.3466666666666498
TUN,Tunisia,94.72666666666667,0.2733333333333263
ARE,United Arab Emirates,94.77,0.23000000000000398
KWT,Kuwait,94.82000000000001,0.1799999999999926
ISR,Israel,95.0,0.0
NOR,Norway,95.09333333333332,-0.0933333333333195
HKG,"China, Hong Kong SAR",95.19,-0.18999999999999773
EGY,Egypt,95.37666666666667,-0.37666666666666515
LVA,Latvia,95.69333333333333,-0.693333333333328
CHN,China,95.71499999999999,-0.7149999999999892
ARM,Armenia,95.91666666666667,-0.9166666666666714
DZA,Algeria,95.9525,-0.9525000000000006
BLR,Belarus,95.96999999999998,-0.9699999999999847
MNG,Mongolia,95.99000000000001,-0.9900000000000091
TKL,Tokelau,96.15,-1.1500000000000057
NIC,Nicaragua,96.24000000000001,-1.240000000000009
SLE,Sierra Leone,96.28000000000002,-1.2800000000000153
ECONOMY_IN_TRANSITION,Economy in transition,96.5,-1.5
SAU,Saudi Arabia,96.50333333333333,-1.5033333333333303
KOR,Republic of Korea,96.54,-1.5400000000000063
PRT,Portugal,96.7,-1.7000000000000028
MAC,"China, Macao SAR",96.84,-1.8400000000000034
TJK,Tajikistan,96.96666666666665,-1.9666666666666544
AND,Andorra,97.5,-2.5
TCA,Turks and Caicos Islands,97.695,-2.694999999999993
TUV,Tuvalu,97.87333333333333,-2.873333333333335
BRN,Brunei Darussalam,98.03000000000002,-3.0300000000000153
NRU,Nauru,98.5,-3.5
LKA,Sri Lanka,98.82666666666667,-3.826666666666668
MDV,Maldives,98.89333333333333,-3.893333333333331
TKM,Turkmenistan,98.93333333333334,-3.933333333333337
MAR,Morocco,99.0,-4.0
QAT,Qatar,99.13333333333333,-4.133333333333326
TON,Tonga,99.32,-4.319999999999993
UZB,Uzbekistan,99.33333333333333,-4.333333333333329
CUB,Cuba,99.39,-4.390000000000001
IRN,Iran (Islamic Republic of),99.40666666666668,-4.4066666666666805
KAZ,Kazakhstan,99.46666666666665,-4.466666666666654
OMN,Oman,99.51666666666667,-4.516666666666666
HUN,Hungary,99.53333333333335,-4.533333333333346
NIU,Niue,99.66666666666667,-4.666666666666671
BHR,Bahrain,99.66666666666667,-4.666666666666671
GUY,Guyana,99.68666666666667,-4.686666666666667
BTN,Bhutan,99.96666666666665,-4.966666666666654
MYS,Malaysia,102.03666666666668,-7.036666666666676
BGD,Bangladesh,102.64999999999999,-7.6499999999999915
TZA,United Republic of Tanzania,106.705,-11.704999999999998
MSR,Montserrat,108.91499999999999,-13.914999999999992
NCL,New Caledonia,,
PYF,French Polynesia,,
